Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-10 00:00:00-04:00,490.53449931508374,499.27526127994463,490.0875476500694,499.2156677246094,11220900,0.0,0.0
2024-06-11 00:00:00-04:00,496.7920821312561,504.18198591577544,494.91479425221536,504.0528564453125,9673700,0.0,0.0
2024-06-12 00:00:00-04:00,510.5289816127229,510.5488663402382,501.0730965012288,505.4136657714844,11983200,0.0,0.0
2024-06-13 00:00:00-04:00,502.3047412736244,505.9301575612256,497.98402638310364,500.7055969238281,9954600,0.0,0.0
2024-06-14 00:00:00-04:00,499.76105901416054,504.2351956755983,497.8719851588786,501.26239013671875,10243300,0.5,0.0
2024-06-17 00:00:00-04:00,498.78668605391897,507.81448578396373,493.15921302560884,503.7181701660156,11266600,0.0,0.0
2024-06-18 00:00:00-04:00,501.6600694232584,503.0917955375381,492.1748915017007,496.61920166015625,13060400,0.0,0.0
2024-06-20 00:00:00-04:00,499.1147919555252,500.7752071040244,493.9148400723255,498.8165283203125,11801200,0.0,0.0
2024-06-21 00:00:00-04:00,500.5564623228992,500.5564623228992,489.56003146184884,491.936279296875,22359200,0.0,0.0
2024-06-24 00:00:00-04:00,496.33091377345426,504.88146192373665,491.44912982983715,496.0425720214844,13525300,0.0,0.0
2024-06-25 00:00:00-04:00,494.193234056006,507.77472797570107,492.65215468981233,507.6653747558594,12063200,0.0,0.0
2024-06-26 00:00:00-04:00,503.7381129188355,510.8569657298351,501.7794339307379,510.1709289550781,8882300,0.0,0.0
2024-06-27 00:00:00-04:00,511.294373925033,519.8747782877508,510.9464098062174,516.5738525390625,10121200,0.0,0.0
2024-06-28 00:00:00-04:00,514.1777300033583,518.8805251412638,500.94420066099576,501.322021484375,15855100,0.0,0.0
2024-07-01 00:00:00-04:00,502.0478255113692,503.6684316425156,490.335531960126,501.77935791015625,10328200,0.0,0.0
2024-07-02 00:00:00-04:00,497.88192801510917,507.5659383637164,496.57945957224564,506.5716857910156,7739500,0.0,0.0
2024-07-03 00:00:00-04:00,503.45968950388533,508.34147346230577,503.111695021788,507.029052734375,6005600,0.0,0.0
2024-07-05 00:00:00-04:00,508.659626943001,537.7613890905714,508.659626943001,536.806884765625,21354100,0.0,0.0
2024-07-08 00:00:00-04:00,539.2328502639116,539.6902282867122,523.6231336593002,526.2777709960938,14917500,0.0,0.0
2024-07-09 00:00:00-04:00,530.6823045262751,534.3908471604564,525.1542627135257,526.953857421875,8753200,0.0,0.0
2024-07-10 00:00:00-04:00,527.739333812602,535.7828643236683,525.3233071938398,531.616943359375,10983300,0.0,0.0
2024-07-11 00:00:00-04:00,527.8387206588444,532.382461834716,505.4481350938496,509.7532653808594,16458300,0.0,0.0
2024-07-12 00:00:00-04:00,494.89917130590845,505.16978705228513,491.3894609308073,496.0027770996094,19750500,0.0,0.0
2024-07-15 00:00:00-04:00,495.764185294849,503.76790669294775,490.5344068407608,493.3083801269531,12539200,0.0,0.0
2024-07-16 00:00:00-04:00,498.61766470466665,501.05359564218975,482.9979652991605,486.9749755859375,14075800,0.0,0.0
2024-07-17 00:00:00-04:00,476.4159983287152,476.4159983287152,456.4812168894572,459.334716796875,28076600,0.0,0.0
2024-07-18 00:00:00-04:00,472.2699610515285,476.4855821522594,461.87008787870946,473.1150817871094,19267200,0.0,0.0
2024-07-19 00:00:00-04:00,473.32389780212014,483.9126820908743,472.97590331818924,474.0497131347656,15149400,0.0,0.0
2024-07-22 00:00:00-04:00,483.7834299289137,489.2319452484401,481.1188401704912,484.5987243652344,12023100,0.0,0.0
