Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-06-10 00:00:00-04:00,520.5123511854081,523.2555869709606,519.9168582676467,522.9334106445312,35686100,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,521.3811694677967,524.2513211148034,519.4091430834137,524.1927490234375,36383400,0.0,0.0,0.0
2024-06-12 00:00:00-04:00,528.7615900630306,531.1924214122917,527.4631724257194,528.4979858398438,63251300,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,530.2453924252503,530.4211086780596,526.7699763935087,529.56201171875,44760900,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,528.0293342324846,529.9134725597781,527.0237772162169,529.8842163085938,40089900,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,529.2008719569648,535.4976399183048,528.7420075865693,534.1015625,55839500,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,534.1602004613839,535.5855343086499,533.7404238235347,535.4586181640625,41376400,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,536.3860596417427,537.0498966218076,532.2272618802663,534.0040283203125,70328200,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,533.1803062748603,534.4045446160707,531.828742363983,533.2880249023438,64338600,1.759,0.0,0.0
2024-06-24 00:00:00-04:00,533.1117619254674,535.6777608035513,531.4369822915095,531.5545043945312,45528700,0.0,0.0,0.0
2024-06-25 00:00:00-04:00,532.7787259572508,533.9638101987721,531.260682360104,533.6014404296875,37936200,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,532.4849577215607,534.9823921713983,531.8385861304241,534.2674560546875,38550600,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,534.1302894973802,535.6875469780335,533.3859430174333,535.1096801757812,35041500,0.0,0.0,0.0
2024-06-28 00:00:00-04:00,535.8833782760337,538.9391321933387,531.7601817698417,533.0039672851562,76144500,0.0,0.0,0.0
2024-07-01 00:00:00-04:00,534.3848928648134,534.6297405125247,531.339002473828,534.1008911132812,40297800,0.0,0.0,0.0
2024-07-02 00:00:00-04:00,532.4948105764632,537.6953735351562,532.4458529900177,537.6953735351562,40434800,0.0,0.0,0.0
2024-07-03 00:00:00-04:00,537.3818563773293,540.457157354787,537.3427022712717,540.0947875976562,32789900,0.0,0.0,0.0
2024-07-05 00:00:00-04:00,540.3983214954949,543.6106912880709,539.7616937523114,543.2091674804688,41488400,0.0,0.0,0.0
2024-07-08 00:00:00-04:00,543.9927968223914,544.786100933334,542.7685583933277,543.8361206054688,36110500,0.0,0.0,0.0
2024-07-09 00:00:00-04:00,544.7959245684453,545.6969473479489,544.0711849559792,544.364990234375,27289700,0.0,0.0,0.0
2024-07-10 00:00:00-04:00,545.5891764995068,550.0943497431794,545.2953712492263,549.7515869140625,38701200,0.0,0.0,0.0
2024-07-11 00:00:00-04:00,549.869152242232,550.7408243676441,544.3747844096212,545.0113525390625,53054200,0.0,0.0,0.0
2024-07-12 00:00:00-04:00,546.1376877405125,552.0531865568831,545.667599292853,548.4490356445312,53084400,0.0,0.0,0.0
2024-07-15 00:00:00-04:00,550.4469707289841,553.1990561394715,548.0964091939553,549.957275390625,40584300,0.0,0.0,0.0
2024-07-16 00:00:00-04:00,551.2696499606263,553.5124331903285,550.51549997726,553.2186279296875,36475300,0.0,0.0,0.0
2024-07-17 00:00:00-04:00,547.2835666023501,548.9583463886919,545.1386983611491,545.4619140625,57119000,0.0,0.0,0.0
2024-07-18 00:00:00-04:00,546.9995524787638,547.988746727991,539.0860582622142,541.2700805664062,56270400,0.0,0.0,0.0
2024-07-19 00:00:00-04:00,541.0350233261719,542.6608454522978,536.6179614633988,537.6757202148438,65509100,0.0,0.0,0.0
2024-07-22 00:00:00-04:00,541.6030975244146,543.8263337080781,539.6639229224022,543.2191162109375,43346700,0.0,0.0,0.0
2024-07-23 00:00:00-04:00,543.111291105197,545.2659625762393,541.8773090500791,542.3670043945312,34439600,0.0,0.0,0.0
2024-07-24 00:00:00-04:00,537.5483166712224,537.8519253696913,529.1549319575545,530.0755615234375,74515300,0.0,0.0,0.0
2024-07-25 00:00:00-04:00,530.193193121847,536.1773164246895,526.3736048145187,527.3137817382812,61158300,0.0,0.0,0.0
2024-07-26 00:00:00-04:00,531.1040247828195,535.9128068838628,530.3302678617441,533.219482421875,53763800,0.0,0.0,0.0
2024-07-29 00:00:00-04:00,534.7669398202207,535.7756811771844,531.5349026238763,533.5328979492188,39515800,0.0,0.0,0.0
2024-07-30 00:00:00-04:00,535.001925487195,536.0596840862061,527.4214517116767,530.8297119140625,46853600,0.0,0.0,0.0
2024-07-31 00:00:00-04:00,537.6657675284698,542.0926316345856,536.294656720406,539.4580688476562,65663400,0.0,0.0,0.0
2024-08-01 00:00:00-04:00,541.1819427118934,543.4345294348678,528.3127341764186,531.8189697265625,76428700,0.0,0.0,0.0
2024-08-02 00:00:00-04:00,524.7085367838448,525.9229716163323,517.705869778205,521.9172973632812,82789100,0.0,0.0,0.0
2024-08-05 00:00:00-04:00,501.09553041319043,512.7894591232473,499.75373989157873,506.71722412109375,146267400,0.0,0.0,0.0
2024-08-06 00:00:00-04:00,508.51921810050686,518.8322310175004,507.19706454680966,511.3888854980469,84826300,0.0,0.0,0.0
2024-08-07 00:00:00-04:00,517.5786158200011,520.6343700428232,507.3733806496258,507.9707946777344,70698300,0.0,0.0,0.0
2024-08-08 00:00:00-04:00,513.1125407389065,520.3404486814812,511.08525465156777,519.7136840820312,63276600,0.0,0.0,0.0
2024-08-09 00:00:00-04:00,518.8908555789227,523.4940026818011,517.6666175077982,522.0053100585938,45619600,0.0,0.0,0.0
2024-08-12 00:00:00-04:00,523.2003538167259,524.6889871074426,520.0075304089534,522.2797241210938,42542100,0.0,0.0,0.0
2024-08-13 00:00:00-04:00,525.4725645280489,531.1040615199245,525.2277168327499,530.8689575195312,52333100,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,531.6621646835201,533.7287242856177,528.9884474672805,532.5436401367188,42446900,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,538.1751381862979,541.9555715802455,537.567920792545,541.6715698242188,60846800,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,540.0555939415091,543.5814362683599,539.8989177341498,542.8860473632812,44430700,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,543.2972906137162,548.0767211914062,542.4452256331724,548.0767211914062,39121800,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,547.6263456901657,549.2815184001456,545.8438474042439,547.1856079101562,33732300,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,548.2334599233565,550.5252003042482,543.2972933603506,549.06591796875,41514600,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,550.9660160166799,551.5732334533072,543.5422179587766,544.7566528320312,56121500,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,547.9984691071246,551.4850973665338,545.8045838781815,550.5448608398438,50639400,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,551.5733022984582,552.2882384520825,547.5284135216066,549.2325439453125,35788600,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,547.9592873998898,550.476328645617,546.8134170306081,549.9866333007812,32693900,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,549.6438836929623,550.0748179978751,543.6009999526875,546.7938232421875,41066000,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,548.7623394799141,552.0628809883677,545.6968421488655,546.8427124023438,38715200,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,549.2128659703031,552.5721684331874,545.6576734390724,552.0628662109375,62700100,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,548.9191307501956,549.25214992284,538.1850458833093,540.7020874023438,60600100,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,538.8607329114091,543.0035361193702,538.1359934145067,539.5952758789062,47224900,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,539.5365467142444,542.3865472945482,535.8246177750381,538.2828979492188,44264300,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,538.6061519080256,540.2319142524223,528.3225490242058,529.2235717773438,68493800,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,533.4251872668898,536.4221205223048,531.4957564364314,535.1488647460938,40445800,0.0,0.0,0.0
2024-09-10 00:00:00-04:00,537.0586665381934,537.8324234437913,532.1813200114981,537.4797973632812,36394600,0.0,0.0,0.0
2024-09-11 00:00:00-04:00,537.3916883108078,543.9144040618945,528.8318231688719,542.9937744140625,75248600,0.0,0.0,0.0
2024-09-12 00:00:00-04:00,543.5716351743016,547.8711746400817,541.3483991843773,547.5675659179688,51819600,0.0,0.0,0.0
2024-09-13 00:00:00-04:00,548.1747207597754,551.4263046450518,547.920069645679,550.4273071289062,39310500,0.0,0.0,0.0
2024-09-16 00:00:00-04:00,550.1628688432331,551.5046291897925,548.3608236054457,551.240234375,36656100,0.0,0.0,0.0
2024-09-17 00:00:00-04:00,553.4536471249235,554.9031859740162,549.2324757022386,551.4655151367188,49321000,0.0,0.0,0.0
2024-09-18 00:00:00-04:00,552.121819368038,556.9698163045404,549.2718181357275,549.830078125,59044900,0.0,0.0,0.0
2024-09-19 00:00:00-04:00,559.2418737919741,561.0733295553275,556.3722663136862,559.2124633789062,75315500,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,557.8430941207945,559.2871857073619,555.2200568119598,558.245849609375,77503100,1.746,0.0,0.0
2024-09-23 00:00:00-04:00,559.3166610051752,560.2892222272916,558.0984411315784,559.6408081054688,44116900,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,560.4366164965969,561.3011287948526,557.6073144224192,561.2421875,46805700,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,561.0849426444706,561.8217386948093,558.8941616149112,560.0042724609375,38428600,0.0,0.0,0.0
2024-09-26 00:00:00-04:00,564.2678851150425,564.5920921622151,559.866775948692,562.2244873046875,48336000,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,563.2952985697877,564.1106429805404,560.377555197848,561.4090576171875,42100900,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,560.3775886747461,564.2678934162012,558.078818569817,563.6588134765625,63557400,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,563.3051282373419,563.9534823374194,556.0353836889657,558.6092529296875,72668800,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,557.715374727311,559.866821742494,555.3183290115846,558.8450927734375,38097800,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,557.3715020969081,559.7685478192003,555.5344286086627,557.8234252929688,40846500,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,562.273664576873,563.2658929623027,558.09848649286,562.892578125,42939100,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,561.2421538745174,561.8905680396737,556.6543868115797,557.8037719726562,49964700,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,560.3775771285751,563.6784689445017,559.5032914013763,563.0791625976562,37398700,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,563.0693372819003,567.5392812736217,562.4700908869163,566.9793090820312,37912200,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,565.6334738441669,567.4116060358193,564.3759797176003,565.9871215820312,44138100,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,565.9084606662699,570.1131388058892,565.7709110163313,569.3763427734375,42268000,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,570.9874382986001,574.9661849382893,570.5060744728205,574.0328979492188,36217200,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,574.2981309420833,574.6026708937048,568.3545951743074,569.5728149414062,54203600,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,569.5728070987392,572.5690988319416,568.7672362789522,572.0484008789062,30725400,0.0,0.0,0.0
2024-10-17 00:00:00-04:00,575.5949797580469,575.8013042765577,571.9109988172407,572.09765625,34393700,0.0,0.0,0.0
2024-10-18 00:00:00-04:00,573.7872313147403,575.0839994048337,572.3234729286785,574.298095703125,37416800,0.0,0.0,0.0
2024-10-21 00:00:00-04:00,573.5712006217359,574.5535954570634,570.3784174069214,573.3551025390625,36439000,0.0,0.0,0.0
2024-10-22 00:00:00-04:00,570.8204817447413,574.2097557683464,570.1622940232531,573.050537109375,34183800,0.0,0.0,0.0
2024-10-23 00:00:00-04:00,571.0267810694698,571.4688706983893,564.3071746074978,567.8143310546875,49314600,0.0,0.0,0.0
2024-10-24 00:00:00-04:00,569.7693209618997,569.8479293354313,566.4193810527883,569.0423583984375,34979900,0.0,0.0,0.0
2024-10-25 00:00:00-04:00,571.2724326633536,574.1705094317597,567.9028255594263,568.8458862304688,47268200,0.0,0.0,0.0
2024-10-28 00:00:00-04:00,572.3235609618828,572.4512770786239,570.299830137409,570.6043701171875,30174700,0.0,0.0,0.0
2024-10-29 00:00:00-04:00,569.6415908764491,572.6477165136779,568.2466070737139,571.52783203125,42899700,0.0,0.0,0.0
2024-10-30 00:00:00-04:00,571.0562011429839,573.0504911915006,569.0914117169528,569.7987670898438,41435800,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,565.4271221936206,565.4958970216722,558.4324763422399,558.6289672851562,60182500,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,561.2617936558026,565.4173043933644,560.5741053167588,560.9866943359375,45667500,0.0,0.0,0.0
2024-11-04 00:00:00-05:00,561.1241962515347,562.4209644478059,557.892139281839,559.7783203125,38217000,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,560.6919638738422,566.586332309216,560.4758658123077,566.5470581054688,39478300,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,578.8270705681771,581.5089893813079,575.0841485043231,580.6346435546875,68182000,0.0,0.0,0.0
2024-11-07 00:00:00-05:00,582.6387178727699,586.145874462509,582.5601095007273,585.1241455078125,47233200,0.0,0.0,0.0
2024-11-08 00:00:00-05:00,585.6742957423695,589.0832369047557,585.6742957423695,587.6587524414062,46444900,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,589.2501914582232,589.6038391769904,586.4896646144927,588.2186889648438,37586800,0.0,0.0,0.0
2024-11-12 00:00:00-05:00,588.1400498376755,588.739296212128,583.9059310932324,586.3914184570312,43006100,0.0,0.0,0.0
2024-11-13 00:00:00-05:00,586.8531544283672,588.6803942959151,584.4856094336134,586.6763305664062,47388600,0.0,0.0,0.0
2024-11-14 00:00:00-05:00,586.804069200042,587.2854330583992,582.2163022724781,582.9039306640625,38904100,0.0,0.0,0.0
2024-11-15 00:00:00-05:00,579.3378226480269,579.8094129170865,573.5810036102117,575.437744140625,75988800,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,575.8994574754852,579.1119076957027,575.0350052053479,577.7955322265625,37001700,0.0,0.0,0.0
2024-11-19 00:00:00-05:00,574.4161003090796,580.6346163861505,573.7480790226593,579.9076538085938,49412000,0.0,0.0,0.0
2024-11-20 00:00:00-05:00,579.9861823753545,580.3889378159292,574.3374129030207,580.1040649414062,50032600,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,582.953055915256,584.6427460672937,577.1077952881657,583.21826171875,46750300,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,583.2084735757152,585.654687007179,582.7075025920674,585.0259399414062,38226400,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,588.9653319760873,590.281707390563,584.7213793724078,587.0103759765625,42441400,0.0,0.0,0.0
