Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-10 00:00:00-04:00,418.1288206635897,421.45649821147657,417.3313558315188,421.249755859375,13982900,0.0,0.0
2024-06-11 00:00:00-04:00,418.8967715885156,426.1231998343133,418.67031944713443,425.9853515625,14551100,0.0,0.0
2024-06-12 00:00:00-04:00,428.5844790234761,436.53944727057524,426.54650007534946,434.23565673828125,22366200,0.0,0.0
2024-06-13 00:00:00-04:00,434.0289338170149,436.52964196122593,432.57182236972,434.74761962890625,15960600,0.0,0.0
2024-06-14 00:00:00-04:00,431.49865916361745,436.2834778568933,429.96279885352675,435.7222900390625,13582000,0.0,0.0
2024-06-17 00:00:00-04:00,435.74204909357854,443.9628602271227,433.90098736398585,441.4326171875,20790000,0.0,0.0
2024-06-18 00:00:00-04:00,442.75181252074634,443.1751821409538,438.00641324566425,439.4339599609375,17112500,0.0,0.0
2024-06-20 00:00:00-04:00,439.3945559147101,439.6210080275433,434.4423844149745,438.8038635253906,19877400,0.0,0.0
2024-06-21 00:00:00-04:00,440.45791031268766,443.6083802322018,439.60137620942794,442.8207702636719,34187100,0.0,0.0
2024-06-24 00:00:00-04:00,442.8404263927747,445.74479433203504,439.5028940256874,440.743408203125,15913700,0.0,0.0
2024-06-25 00:00:00-04:00,441.3143898379412,444.4353547941903,439.83759879553867,443.9726257324219,16413400,0.0,0.0
2024-06-26 00:00:00-04:00,442.05276943847076,446.5816011478092,441.25530470792563,445.16387939453125,16507000,0.0,0.0
2024-06-27 00:00:00-04:00,445.1835541624589,449.11183858084996,444.7798943577927,445.84320068359375,14806300,0.0,0.0
2024-06-28 00:00:00-04:00,446.05981801420484,448.33407381119525,439.5028621939787,440.0345153808594,28362300,0.0,0.0
2024-07-01 00:00:00-04:00,441.7180347396165,450.293259356771,438.76445275458883,449.6631774902344,17662800,0.0,0.0
2024-07-02 00:00:00-04:00,446.1878533998419,452.47896819642483,446.09921948918884,452.17376708984375,13979800,0.0,0.0
2024-07-03 00:00:00-04:00,451.1005881786126,453.88678735468443,450.79538710423196,453.6406555175781,9932800,0.0,0.0
2024-07-05 00:00:00-04:00,452.498587816865,461.1033770377166,451.8685059547019,460.3255920410156,16000300,0.0,0.0
2024-07-08 00:00:00-04:00,459.33120203742016,460.4634324742541,457.27354357582976,459.0260009765625,12962300,0.0,0.0
2024-07-09 00:00:00-04:00,459.77428381745585,460.09916463101644,450.91353744838284,452.4297180175781,17207200,0.0,0.0
2024-07-10 00:00:00-04:00,454.08377755329457,459.2426920705962,451.7602770153543,459.03594970703125,18196100,0.0,0.0
2024-07-11 00:00:00-04:00,455.81652839633193,457.58866578342753,444.5633568384772,447.6646423339844,23111200,0.0,0.0
2024-07-12 00:00:00-04:00,447.3003093014831,449.29889867197954,443.67725577045155,446.5323791503906,16324300,0.0,0.0
2024-07-15 00:00:00-04:00,446.2863044349352,450.18505497376174,444.4452428142979,446.93609619140625,14429400,0.0,0.0
2024-07-16 00:00:00-04:00,447.19208006387777,447.27082904351875,439.74905460392523,442.5647888183594,17175700,0.0,0.0
2024-07-17 00:00:00-04:00,435.74198947896895,437.9670310742686,432.38474735385836,436.6575927734375,21778000,0.0,0.0
2024-07-18 00:00:00-04:00,437.4648797185402,437.770080793845,427.67867544192785,433.5563049316406,20794800,0.0,0.0
2024-07-19 00:00:00-04:00,426.39883667006126,434.3144456334854,425.31585048613374,430.3467712402344,20940400,0.0,0.0
2024-07-22 00:00:00-04:00,434.95437784378936,437.7208974938516,432.1189340633458,436.0865783691406,15808800,0.0,0.0
2024-07-23 00:00:00-04:00,437.0316974699668,441.45224583194545,436.24408758502966,437.9670104980469,13107100,0.0,0.0
2024-07-24 00:00:00-04:00,433.6351660700269,434.64922823221025,420.9741263094996,422.26385498046875,26805800,0.0,0.0
2024-07-25 00:00:00-04:00,422.1653174889069,423.1498448431678,411.0500252919827,411.9262390136719,29943800,0.0,0.0
2024-07-26 00:00:00-04:00,411.7293557750341,422.28349032231534,410.8137224917234,418.68994140625,23583800,0.0,0.0
2024-07-29 00:00:00-04:00,424.90231413559286,425.46350195400487,418.1287909882396,420.12738037109375,15125800,0.0,0.0
2024-07-30 00:00:00-04:00,421.1020622928212,422.4114705197089,410.90234276735913,416.3763427734375,32687600,0.0,0.0
2024-07-31 00:00:00-04:00,413.99380325758636,415.25399722383173,405.83206207673004,411.8770751953125,42891400,0.0,0.0
2024-08-01 00:00:00-04:00,414.2792724511176,420.84605305704525,406.69839983005807,410.65618896484375,30296400,0.0,0.0
2024-08-02 00:00:00-04:00,406.10769576372263,408.5788691410044,398.08380349930894,402.1695861816406,29437900,0.0,0.0
2024-08-05 00:00:00-04:00,383.1485558976655,394.83489176821496,379.6140759587015,389.0360107421875,40709200,0.0,0.0
2024-08-06 00:00:00-04:00,393.8109820824443,399.3932659734361,392.33419089963513,393.427001953125,24946500,0.0,0.0
2024-08-07 00:00:00-04:00,402.3173368345742,403.73502880977026,391.32015130804484,392.2652893066406,20650900,0.0,0.0
2024-08-08 00:00:00-04:00,396.2132187300544,399.58028569311574,393.7519001712231,396.4593505859375,20203000,0.0,0.0
2024-08-09 00:00:00-04:00,397.7786234799922,401.736413003281,396.0360207139592,399.7378234863281,19276700,0.0,0.0
