contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260622C00235000,2026-06-08 17:35:39+00:00,235.0,80.1,55.55,58.95,0.0,0.0,2,,0.68555001953125,True,REGULAR,USD
AAPL260622C00245000,2026-06-09 16:33:56+00:00,245.0,45.14,45.75,49.0,0.0,0.0,132,20.0,0.596683720703125,True,REGULAR,USD
AAPL260622C00265000,2026-06-10 13:52:18+00:00,265.0,24.67,26.1,28.75,-2.17,-8.084948,76,14.0,0.503056727294922,True,REGULAR,USD
AAPL260622C00275000,2026-06-09 16:38:09+00:00,275.0,16.03,17.45,18.5,0.0,0.0,3,11.0,0.34961587890624996,True,REGULAR,USD
AAPL260622C00280000,2026-06-10 14:50:57+00:00,280.0,14.87,13.25,14.1,1.1499996,8.381921,23,18.0,0.31592480957031244,True,REGULAR,USD
AAPL260622C00285000,2026-06-10 18:43:10+00:00,285.0,11.19,9.4,10.1,1.9699993,21.366587,21,19.0,0.28882547119140617,True,REGULAR,USD
AAPL260622C00290000,2026-06-10 19:09:46+00:00,290.0,7.3,6.2,6.6,0.8000002,12.307694,320,56.0,0.26380130737304686,True,REGULAR,USD
AAPL260622C00295000,2026-06-10 19:49:31+00:00,295.0,3.88,3.75,4.1,-0.17000008,-4.1975327,568,213.0,0.2556837127685547,False,REGULAR,USD
AAPL260622C00300000,2026-06-10 19:41:20+00:00,300.0,2.5,2.15,2.35,0.4000001,19.047623,401,353.0,0.25049577636718745,False,REGULAR,USD
AAPL260622C00305000,2026-06-10 19:56:47+00:00,305.0,1.24,1.1,1.34,0.100000024,8.771932,341,610.0,0.25427991821289064,False,REGULAR,USD
AAPL260622C00310000,2026-06-10 19:49:10+00:00,310.0,0.64,0.58,0.75,0.00999999,1.5873001,136,233.0,0.2601392346191406,False,REGULAR,USD
AAPL260622C00315000,2026-06-10 19:58:07+00:00,315.0,0.33,0.32,0.42,-0.01999998,-5.71428,1150,1353.0,0.26782958740234375,False,REGULAR,USD
AAPL260622C00320000,2026-06-10 18:26:25+00:00,320.0,0.25,0.15,0.25,0.019999996,8.69565,74,322.0,0.2790599438476562,False,REGULAR,USD
AAPL260622C00325000,2026-06-10 18:47:58+00:00,325.0,0.15,0.12,0.21,0.0,0.0,94,67.0,0.30664755859375,False,REGULAR,USD
AAPL260622C00330000,2026-06-10 19:11:59+00:00,330.0,0.13,0.01,0.18,0.049999997,62.499996,8,77.0,0.33301448242187504,False,REGULAR,USD
AAPL260622C00335000,2026-06-09 18:41:28+00:00,335.0,0.06,0.01,0.12,-0.010000002,-14.285716,40,232.0,0.344733115234375,False,REGULAR,USD
AAPL260622C00340000,2026-06-10 15:39:54+00:00,340.0,0.09,0.01,0.18,-0.03999999,-30.769224,1,56.0,0.39893179199218753,False,REGULAR,USD
AAPL260622C00345000,2026-06-10 15:34:52+00:00,345.0,0.09,0.0,0.29,-0.06999999,-43.749996,5,254.0,0.463872548828125,False,REGULAR,USD
AAPL260622C00350000,2026-06-08 19:17:54+00:00,350.0,0.13,0.0,0.36,0.0,0.0,61,55.0,0.514653291015625,False,REGULAR,USD
AAPL260622C00355000,2026-06-08 16:21:20+00:00,355.0,0.19,0.0,0.35,0.0,0.0,3,3.0,0.5444381494140625,False,REGULAR,USD
