contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL280121P00005000,2026-05-20 19:49:19+00:00,5.0,0.03,0.01,0.3,0.0,0.0,1.0,246,1.40625296875,False,REGULAR,USD
GOOGL280121P00010000,2026-06-04 18:21:06+00:00,10.0,0.03,0.0,1.44,0.0,0.0,5.0,6,1.4243192846679689,False,REGULAR,USD
GOOGL280121P00020000,2025-11-13 19:12:26+00:00,20.0,0.24,0.0,0.1,0.0,0.0,,1,0.79687703125,False,REGULAR,USD
GOOGL280121P00025000,2026-03-25 18:27:30+00:00,25.0,0.06,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
GOOGL280121P00035000,2026-03-20 19:59:19+00:00,35.0,0.05,0.0,0.21,0.0,0.0,2232.0,202,0.6835969140625001,False,REGULAR,USD
GOOGL280121P00040000,2026-04-27 16:40:01+00:00,40.0,0.06,0.0,0.79,0.0,0.0,25.0,368,0.7514673291015624,False,REGULAR,USD
GOOGL280121P00045000,2026-04-14 14:19:46+00:00,45.0,0.11,0.03,5.0,0.0,0.0,1.0,490,0.9614261669921874,False,REGULAR,USD
GOOGL280121P00050000,2026-03-20 19:55:53+00:00,50.0,0.19,0.01,0.29,0.0,0.0,5.0,107,0.5986368261718751,False,REGULAR,USD
GOOGL280121P00060000,2026-04-30 14:49:29+00:00,60.0,0.19,0.01,1.56,0.0,0.0,50.0,5,0.6718782812500002,False,REGULAR,USD
GOOGL280121P00070000,2026-03-26 17:03:14+00:00,70.0,0.53,0.0,0.0,0.0,0.0,8.0,0,0.2500075,False,REGULAR,USD
GOOGL280121P00080000,2026-05-11 17:32:30+00:00,80.0,0.31,0.1,1.54,0.0,0.0,1.0,302,0.5679974841308593,False,REGULAR,USD
GOOGL280121P00090000,2026-06-09 19:50:02+00:00,90.0,0.66,0.17,0.82,0.0,0.0,1.0,693,0.524418818359375,False,REGULAR,USD
GOOGL280121P00100000,2026-06-10 15:59:53+00:00,100.0,0.71,0.67,0.88,0.20999998,41.999996,1.0,231,0.4910939562988281,False,REGULAR,USD
GOOGL280121P00110000,2026-06-05 14:08:44+00:00,110.0,0.85,0.83,1.03,0.0,0.0,1.0,187,0.46753462158203124,False,REGULAR,USD
GOOGL280121P00120000,2026-05-20 14:22:56+00:00,120.0,1.18,0.09,2.29,0.0,0.0,1.0,61,0.5015308636474609,False,REGULAR,USD
GOOGL280121P00125000,2026-06-09 19:47:25+00:00,125.0,1.2,0.16,1.69,0.0,0.0,3.0,76,0.45703667968750006,False,REGULAR,USD
GOOGL280121P00130000,2026-05-27 18:52:42+00:00,130.0,1.36,1.3,1.76,0.0,0.0,28.0,71,0.4445856323242187,False,REGULAR,USD
GOOGL280121P00135000,2026-05-26 18:25:34+00:00,135.0,1.6,1.24,1.9,0.0,0.0,1.0,36,0.4354914849853516,False,REGULAR,USD
GOOGL280121P00140000,2026-06-05 16:47:30+00:00,140.0,1.78,1.56,2.19,0.0,0.0,1.0,175,0.4322566540527344,False,REGULAR,USD
GOOGL280121P00145000,2026-05-27 15:57:28+00:00,145.0,1.91,1.93,2.2,0.0,0.0,100.0,112,0.41797457031249996,False,REGULAR,USD
GOOGL280121P00150000,2026-06-04 14:56:39+00:00,150.0,2.37,2.08,2.63,0.0,0.0,2.0,333,0.41864595031738283,False,REGULAR,USD
GOOGL280121P00155000,2026-06-03 15:55:41+00:00,155.0,2.74,2.51,3.65,0.0,0.0,1.0,256,0.43445389770507814,False,REGULAR,USD
GOOGL280121P00160000,2026-06-05 13:30:04+00:00,160.0,2.72,2.83,3.5,0.0,0.0,1.0,201,0.4158993957519531,False,REGULAR,USD
GOOGL280121P00165000,2026-05-04 18:41:40+00:00,165.0,2.92,2.56,4.2,0.0,0.0,1.0,53,0.4193173303222656,False,REGULAR,USD
GOOGL280121P00170000,2026-05-20 14:34:43+00:00,170.0,3.42,3.45,3.95,0.0,0.0,100.0,148,0.3993895510864258,False,REGULAR,USD
GOOGL280121P00175000,2026-06-04 14:56:39+00:00,175.0,3.62,3.85,5.2,0.0,0.0,2.0,613,0.4130307720947265,False,REGULAR,USD
GOOGL280121P00180000,2026-06-09 15:58:15+00:00,180.0,4.12,4.35,5.25,0.0,0.0,1.0,566,0.4001830001831055,False,REGULAR,USD
GOOGL280121P00185000,2026-06-08 19:10:30+00:00,185.0,4.6,4.8,6.15,0.0,0.0,1.0,97,0.4033873138427735,False,REGULAR,USD
GOOGL280121P00190000,2026-06-01 19:48:20+00:00,190.0,5.04,5.35,5.6,0.0,0.0,65.0,1784,0.3800110827636719,False,REGULAR,USD
GOOGL280121P00195000,2026-06-10 15:49:38+00:00,195.0,6.0,5.95,6.6,0.80999994,15.606935,30.0,463,0.3840698800659179,False,REGULAR,USD
GOOGL280121P00200000,2026-06-10 19:28:59+00:00,200.0,7.0,6.45,6.9,0.5,7.6923075,4.0,1478,0.3757081472778321,False,REGULAR,USD
GOOGL280121P00205000,2026-05-28 14:01:02+00:00,205.0,5.9,7.2,7.85,0.0,0.0,1.0,178,0.37698987274169915,False,REGULAR,USD
GOOGL280121P00210000,2026-06-09 13:33:55+00:00,210.0,7.57,7.8,8.35,0.0,0.0,6.0,368,0.3709779699707031,False,REGULAR,USD
GOOGL280121P00215000,2026-06-05 18:23:14+00:00,215.0,7.9,8.6,9.25,0.0,0.0,1.0,263,0.3700166758728027,False,REGULAR,USD
GOOGL280121P00220000,2026-06-05 16:41:24+00:00,220.0,8.64,9.35,9.95,0.0,0.0,10.0,1842,0.3658510681152344,False,REGULAR,USD
GOOGL280121P00225000,2026-06-02 18:58:05+00:00,225.0,9.97,10.25,11.75,0.0,0.0,50.0,411,0.37402969726562496,False,REGULAR,USD
GOOGL280121P00230000,2026-06-04 17:50:28+00:00,230.0,10.15,10.8,11.75,0.0,0.0,2.0,1811,0.3608614939880371,False,REGULAR,USD
GOOGL280121P00235000,2026-05-21 19:55:08+00:00,235.0,10.22,10.65,13.75,0.0,0.0,20.0,382,0.36914693359375,False,REGULAR,USD
GOOGL280121P00240000,2026-06-10 18:42:26+00:00,240.0,13.8,13.1,13.9,0.5500002,4.1509447,1.0,705,0.3574435594177246,False,REGULAR,USD
GOOGL280121P00245000,2026-06-02 15:11:01+00:00,245.0,13.25,14.15,15.2,0.0,0.0,1.0,715,0.3570620935058594,False,REGULAR,USD
GOOGL280121P00250000,2026-06-09 15:43:28+00:00,250.0,15.28,14.55,17.05,0.0,0.0,6.0,3049,0.3610751148986816,False,REGULAR,USD
GOOGL280121P00255000,2026-06-09 14:17:40+00:00,255.0,15.64,15.9,17.5,0.0,0.0,10.0,171,0.35178260528564453,False,REGULAR,USD
GOOGL280121P00260000,2026-06-10 14:47:52+00:00,260.0,17.0,17.05,19.05,-1.0,-5.5555553,1.0,1162,0.3518741571044921,False,REGULAR,USD
GOOGL280121P00265000,2026-06-08 16:21:07+00:00,265.0,17.96,18.85,20.15,0.0,0.0,11.0,297,0.34766277343749996,False,REGULAR,USD
GOOGL280121P00270000,2026-06-10 18:07:14+00:00,270.0,20.99,20.65,21.45,1.289999,6.5482183,103.0,3496,0.34470259796142577,False,REGULAR,USD
GOOGL280121P00275000,2026-06-08 19:10:24+00:00,275.0,21.0,21.3,23.05,0.0,0.0,6.0,670,0.3436650106811523,False,REGULAR,USD
GOOGL280121P00280000,2026-06-10 15:33:44+00:00,280.0,23.64,22.25,24.75,1.6399994,7.4545426,1.0,1337,0.342856302947998,False,REGULAR,USD
GOOGL280121P00285000,2026-06-09 13:33:55+00:00,285.0,23.37,24.25,27.3,0.0,0.0,6.0,351,0.34766277343749996,False,REGULAR,USD
GOOGL280121P00290000,2026-06-08 19:51:37+00:00,290.0,25.65,26.7,28.85,0.0,0.0,100.0,830,0.34467208068847655,False,REGULAR,USD
GOOGL280121P00295000,2026-06-02 17:44:04+00:00,295.0,26.5,27.0,30.1,0.0,0.0,41.0,437,0.3392552647399902,False,REGULAR,USD
GOOGL280121P00300000,2026-06-10 17:32:11+00:00,300.0,29.85,29.5,31.4,-0.54999924,-1.809208,3.0,3670,0.33392237129211433,False,REGULAR,USD
GOOGL280121P00305000,2026-06-01 15:04:04+00:00,305.0,28.0,32.2,34.25,0.0,0.0,180.0,247,0.3384618156433105,False,REGULAR,USD
GOOGL280121P00310000,2026-06-08 15:26:34+00:00,310.0,32.59,33.2,36.05,0.0,0.0,15.0,703,0.3356084506225586,False,REGULAR,USD
GOOGL280121P00315000,2026-05-06 14:57:08+00:00,315.0,28.03,34.25,35.15,0.0,0.0,6.0,233,0.3154441625213622,False,REGULAR,USD
GOOGL280121P00320000,2026-06-09 13:42:07+00:00,320.0,35.5,37.5,39.85,0.0,0.0,11.0,2800,0.33008482421874996,False,REGULAR,USD
GOOGL280121P00325000,2026-06-04 17:09:45+00:00,325.0,36.8,40.65,42.5,0.0,0.0,2.0,337,0.3313360324096679,False,REGULAR,USD
GOOGL280121P00330000,2026-06-04 17:24:39+00:00,330.0,39.0,42.25,44.7,0.0,0.0,4.0,623,0.3294287028503417,False,REGULAR,USD
GOOGL280121P00335000,2026-06-04 17:35:39+00:00,335.0,42.4,43.5,47.2,0.0,0.0,72.0,204,0.3289251678466796,False,REGULAR,USD
GOOGL280121P00340000,2026-06-04 17:24:39+00:00,340.0,43.28,47.35,49.4,0.0,0.0,5.0,328,0.3262625357818604,False,REGULAR,USD
GOOGL280121P00345000,2026-06-08 18:04:27+00:00,345.0,47.49,49.6,51.75,-0.22999954,-0.48197722,1.0,177,0.32412632667541497,False,REGULAR,USD
GOOGL280121P00350000,2026-06-09 18:18:58+00:00,350.0,53.2,52.4,54.2,3.2000008,6.400001,5.0,999,0.32220373847961425,False,REGULAR,USD
GOOGL280121P00355000,2026-06-09 16:02:35+00:00,355.0,53.65,54.85,56.8,0.0,0.0,84.0,317,0.3207770559692382,False,REGULAR,USD
GOOGL280121P00360000,2026-06-08 14:31:02+00:00,360.0,56.01,57.4,59.65,0.0,0.0,17.0,197,0.320395590057373,True,REGULAR,USD
GOOGL280121P00365000,2026-06-03 17:00:03+00:00,365.0,58.86,60.45,62.25,0.0,0.0,1.0,190,0.31825175163269037,True,REGULAR,USD
GOOGL280121P00370000,2026-06-10 19:02:08+00:00,370.0,64.05,62.3,64.7,1.9800034,3.1899524,3.0,394,0.3149329981994628,True,REGULAR,USD
GOOGL280121P00375000,2026-06-04 17:30:12+00:00,375.0,61.1,65.1,67.25,0.0,0.0,1.0,576,0.3118354949951171,True,REGULAR,USD
GOOGL280121P00380000,2026-06-03 17:33:39+00:00,380.0,66.72,68.2,70.55,0.0,0.0,1.0,572,0.3125526509094238,True,REGULAR,USD
GOOGL280121P00385000,2026-06-03 18:55:55+00:00,385.0,70.05,70.9,74.5,0.0,0.0,7.0,227,0.31651989639282224,True,REGULAR,USD
GOOGL280121P00390000,2026-06-10 14:06:15+00:00,390.0,71.66,74.35,77.05,-1.5899963,-2.1706436,49.0,431,0.312407693862915,True,REGULAR,USD
GOOGL280121P00395000,2026-05-29 13:39:07+00:00,395.0,66.5,77.85,79.6,0.0,0.0,1.0,278,0.3079674306488036,True,REGULAR,USD
GOOGL280121P00400000,2026-06-04 17:25:20+00:00,400.0,74.45,80.0,82.6,0.0,0.0,1.0,87,0.3056862644958496,True,REGULAR,USD
GOOGL280121P00405000,2026-05-08 19:51:58+00:00,405.0,64.45,80.5,81.95,0.0,0.0,64.0,61,0.2826457234191894,True,REGULAR,USD
GOOGL280121P00410000,2026-06-05 17:11:10+00:00,410.0,81.84,87.25,89.75,0.0,0.0,10.0,77,0.30657126541137697,True,REGULAR,USD
GOOGL280121P00415000,2026-05-27 18:39:57+00:00,415.0,73.96,90.2,93.2,0.0,0.0,2.0,82,0.30585410949707037,True,REGULAR,USD
GOOGL280121P00420000,2026-05-26 18:11:22+00:00,420.0,79.25,93.9,96.75,0.0,0.0,2.0,52,0.3053963504028321,True,REGULAR,USD
GOOGL280121P00425000,2026-06-08 16:16:43+00:00,425.0,94.57,97.45,99.25,0.0,0.0,15.0,591,0.29863677444458,True,REGULAR,USD
GOOGL280121P00430000,2026-06-08 17:03:42+00:00,430.0,98.35,99.5,103.15,0.0,0.0,1.0,9,0.2995675512695312,True,REGULAR,USD
GOOGL280121P00435000,2026-01-21 16:14:17+00:00,435.0,123.25,137.65,141.5,0.0,0.0,,5,0.49362688995361337,True,REGULAR,USD
GOOGL280121P00440000,2026-06-02 19:02:26+00:00,440.0,104.15,107.7,109.75,0.0,0.0,20.0,28,0.29353276054382316,True,REGULAR,USD
GOOGL280121P00445000,2026-05-15 15:30:35+00:00,445.0,90.65,111.55,113.95,0.0,0.0,2.0,3,0.2953943141937255,True,REGULAR,USD
GOOGL280121P00450000,2026-06-09 18:07:53+00:00,450.0,111.18,114.65,117.1,0.0,0.0,89.0,126,0.2906412489318847,True,REGULAR,USD
GOOGL280121P00455000,2026-06-03 16:00:03+00:00,455.0,117.85,118.0,121.25,0.0,0.0,600.0,423,0.2916788362121581,True,REGULAR,USD
GOOGL280121P00460000,2026-02-04 20:46:21+00:00,460.0,142.65,160.45,164.25,0.0,0.0,16.0,9,0.5052310829925537,True,REGULAR,USD
GOOGL280121P00465000,2026-06-04 13:54:09+00:00,465.0,122.35,125.5,129.5,0.0,0.0,4.0,26,0.29273168212890616,True,REGULAR,USD
GOOGL280121P00470000,2026-04-20 16:35:15+00:00,470.0,142.3,125.8,127.75,0.0,0.0,4.0,2,0.25345595184326175,True,REGULAR,USD
GOOGL280121P00475000,2026-05-04 17:35:20+00:00,475.0,116.8,128.7,131.75,0.0,0.0,1.0,13,0.25165543273925783,True,REGULAR,USD
GOOGL280121P00480000,2026-06-03 18:33:33+00:00,480.0,136.54,137.5,141.0,0.0,0.0,1.0,7,0.286666374130249,True,REGULAR,USD
GOOGL280121P00485000,2026-05-21 17:50:01+00:00,485.0,120.02,141.2,145.0,0.0,0.0,93.0,65,0.2851481398010253,True,REGULAR,USD
GOOGL280121P00490000,2026-05-14 16:21:07+00:00,490.0,119.55,145.2,149.25,0.0,0.0,1.0,4,0.28508710525512687,True,REGULAR,USD
GOOGL280121P00495000,2026-03-10 13:32:00+00:00,495.0,190.24,158.5,163.5,0.0,0.0,3.0,0,0.3515232084655761,True,REGULAR,USD
GOOGL280121P00500000,2026-06-09 17:03:24+00:00,500.0,152.32,153.5,157.35,0.0,0.0,1.0,105,0.2813029634094238,True,REGULAR,USD
GOOGL280121P00505000,2026-01-15 15:09:26+00:00,505.0,180.06,197.5,202.5,0.0,0.0,,5,0.5182466999053955,True,REGULAR,USD
GOOGL280121P00510000,2026-03-27 19:12:13+00:00,510.0,234.95,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
GOOGL280121P00520000,2026-03-25 18:43:17+00:00,520.0,230.08,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
GOOGL280121P00525000,2026-05-04 17:37:23+00:00,525.0,154.7,169.0,173.5,0.0,0.0,1.0,1,0.22458661163330074,True,REGULAR,USD
GOOGL280121P00530000,2026-01-08 15:56:48+00:00,530.0,206.42,217.95,222.0,0.0,0.0,15.0,9,0.5160418269348146,True,REGULAR,USD
GOOGL280121P00535000,2026-06-08 15:26:34+00:00,535.0,179.45,183.05,187.55,0.0,0.0,5.0,6,0.27339898971557614,True,REGULAR,USD
GOOGL280121P00545000,2026-05-21 17:53:46+00:00,545.0,165.85,192.0,196.5,0.0,0.0,,9,0.2715526947021484,True,REGULAR,USD
GOOGL280121P00550000,2026-05-19 15:50:22+00:00,550.0,173.44,196.5,201.0,0.0,0.0,1.0,2,0.2704845901489258,True,REGULAR,USD
GOOGL280121P00555000,2026-05-21 17:54:47+00:00,555.0,173.8,201.0,205.05,0.0,0.0,,11,0.2644421701049804,True,REGULAR,USD
GOOGL280121P00580000,2025-11-24 15:51:32+00:00,580.0,265.01,264.0,269.0,0.0,0.0,,0,0.5425308198547365,True,REGULAR,USD
GOOGL280121P00600000,2026-06-04 18:35:20+00:00,600.0,230.95,242.5,247.5,0.0,0.0,3.0,4,0.2634656173706055,True,REGULAR,USD
GOOGL280121P00620000,2026-03-25 18:43:17+00:00,620.0,329.94,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
GOOGL280121P00650000,2026-05-05 18:32:45+00:00,650.0,264.5,284.0,289.0,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD
GOOGL280121P00750000,2026-05-18 17:59:33+00:00,750.0,348.44,391.0,396.0,0.0,0.0,,0,0.31445998046874996,True,REGULAR,USD
