contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL270617C00005000,2026-05-07 14:09:31+00:00,5.0,287.0,294.75,298.6,0.0,0.0,1.0,1,0.0,True,REGULAR,USD
AAPL270617C00015000,2026-01-14 14:30:07+00:00,15.0,244.87,249.15,253.05,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
AAPL270617C00025000,2026-04-07 14:46:03+00:00,25.0,222.86,273.0,278.0,0.0,0.0,1.0,1,2.222904833374023,True,REGULAR,USD
AAPL270617C00030000,2026-02-24 14:32:49+00:00,30.0,240.67,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL270617C00035000,2026-04-07 13:55:15+00:00,35.0,215.61,263.5,268.5,0.0,0.0,1.0,2,1.871338533935547,True,REGULAR,USD
AAPL270617C00050000,2026-05-04 13:30:02+00:00,50.0,230.77,251.4,255.2,0.0,0.0,1.0,11,1.6334857192993164,True,REGULAR,USD
AAPL270617C00055000,2026-05-14 15:49:48+00:00,55.0,246.12,236.6,240.5,0.0,0.0,1.0,74,0.9599613378906249,True,REGULAR,USD
AAPL270617C00060000,2026-05-28 17:04:38+00:00,60.0,253.15,231.95,235.75,0.0,0.0,3.0,21,0.936402003173828,True,REGULAR,USD
AAPL270617C00065000,2026-03-16 19:22:28+00:00,65.0,190.41,205.6,209.45,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
AAPL270617C00070000,2026-01-15 16:36:49+00:00,70.0,192.88,197.0,200.65,0.0,0.0,4.0,5,1.0000000000000003e-05,True,REGULAR,USD
AAPL270617C00075000,2026-06-09 16:25:17+00:00,75.0,218.0,217.65,221.45,0.0,0.0,4.0,45,0.854615711669922,True,REGULAR,USD
AAPL270617C00080000,2026-05-15 14:04:01+00:00,80.0,220.25,212.8,216.7,0.0,0.0,1.0,235,0.8276384423828124,True,REGULAR,USD
AAPL270617C00085000,2026-05-06 16:11:08+00:00,85.0,203.49,218.05,221.95,0.0,0.0,76.0,73,1.1899454565429686,True,REGULAR,USD
AAPL270617C00090000,2026-03-19 16:14:32+00:00,90.0,164.05,182.0,185.85,0.0,0.0,1.0,15,1.0000000000000003e-05,True,REGULAR,USD
AAPL270617C00095000,2026-03-26 16:26:48+00:00,95.0,165.6,0.0,0.0,0.0,0.0,60.0,0,1.0000000000000003e-05,True,REGULAR,USD
