contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261218P00150000,2026-06-10 19:42:40+00:00,150.0,0.12,0.12,0.13,0.0,0.0,41.0,28344,0.7695335546875001,False,REGULAR,USD
SPY261218P00200000,2026-06-10 19:06:00+00:00,200.0,0.27,0.26,0.28,0.050000012,22.727278,48.0,30612,0.6835969140625001,False,REGULAR,USD
SPY261218P00210000,2026-06-05 18:45:45+00:00,210.0,0.27,0.3,0.32,0.0,0.0,6.0,1114,0.6684603466796877,False,REGULAR,USD
SPY261218P00220000,2026-06-02 19:56:28+00:00,220.0,0.29,0.34,0.35,0.0,0.0,4.0,2304,0.6523472265625001,False,REGULAR,USD
SPY261218P00230000,2026-06-10 16:01:51+00:00,230.0,0.37,0.38,0.4,0.060000002,19.35484,150.0,6062,0.637698935546875,False,REGULAR,USD
SPY261218P00240000,2026-06-09 18:58:39+00:00,240.0,0.34,0.42,0.44,0.0,0.0,340.0,48963,0.6223182299804688,False,REGULAR,USD
SPY261218P00245000,2026-06-09 16:10:35+00:00,245.0,0.43,0.45,0.47,0.0,0.0,1.0,296,0.6162147753906251,False,REGULAR,USD
SPY261218P00250000,2026-06-09 17:41:25+00:00,250.0,0.41,0.47,0.49,0.0,0.0,100.0,3378,0.6084023535156251,False,REGULAR,USD
SPY261218P00255000,2026-06-09 19:42:57+00:00,255.0,0.43,0.5,0.52,0.0,0.0,2.0,1474,0.6020547607421877,False,REGULAR,USD
SPY261218P00260000,2026-06-10 20:09:41+00:00,260.0,0.55,0.53,0.54,0.060000002,12.244898,5.0,5336,0.5949747534179688,False,REGULAR,USD
SPY261218P00265000,2026-06-10 13:32:16+00:00,265.0,0.48,0.55,0.57,0.030000001,6.666667,1.0,204,0.58789474609375,False,REGULAR,USD
SPY261218P00270000,2026-06-10 13:33:09+00:00,270.0,0.51,0.58,0.6,-0.030000031,-5.555561,6.0,554,0.5815471533203125,False,REGULAR,USD
SPY261218P00275000,2026-06-03 13:30:05+00:00,275.0,0.5,0.61,0.63,0.0,0.0,12.0,5442,0.5749554223632812,False,REGULAR,USD
SPY261218P00280000,2026-05-22 14:24:36+00:00,280.0,0.62,0.65,0.66,0.0,0.0,600.0,1778,0.5688519677734375,False,REGULAR,USD
SPY261218P00285000,2026-06-10 13:33:47+00:00,285.0,0.6,0.68,0.7,0.08000004,15.384624,1.0,236,0.5627485131835939,False,REGULAR,USD
SPY261218P00290000,2026-06-10 19:21:43+00:00,290.0,0.71,0.71,0.73,0.109999955,18.333324,1.0,14653,0.5561567822265626,False,REGULAR,USD
