contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL260821P00100000,2026-06-01 15:08:14+00:00,100.0,0.03,0.0,2.14,0.0,0.0,1.0,277,1.44140904296875,False,REGULAR,USD
GOOGL260821P00105000,2026-05-21 18:26:19+00:00,105.0,0.03,0.0,2.14,0.0,0.0,2.0,83,1.3886749316406248,False,REGULAR,USD
GOOGL260821P00110000,2026-05-29 15:01:15+00:00,110.0,0.04,0.0,2.15,0.0,0.0,7.0,388,1.3393587719726558,False,REGULAR,USD
GOOGL260821P00115000,2026-06-08 19:53:27+00:00,115.0,0.23,0.01,0.52,0.13,129.99998,1.0,102,1.0595750146484377,False,REGULAR,USD
GOOGL260821P00120000,2026-05-27 14:49:17+00:00,120.0,0.05,0.0,2.16,0.0,0.0,2.0,128,1.2470740771484374,False,REGULAR,USD
GOOGL260821P00125000,2026-05-27 15:10:06+00:00,125.0,0.04,0.0,2.16,0.0,0.0,4.0,16,1.2033731237792966,False,REGULAR,USD
GOOGL260821P00130000,2026-05-27 14:49:52+00:00,130.0,0.06,0.0,2.17,0.0,0.0,4.0,100,1.1623577038574218,False,REGULAR,USD
GOOGL260821P00135000,2026-05-26 15:54:56+00:00,135.0,0.07,0.0,2.18,0.0,0.0,2.0,121,1.123051259765625,False,REGULAR,USD
GOOGL260821P00140000,2026-06-10 15:55:37+00:00,140.0,0.05,0.0,0.3,0.0,0.0,2.0,401,0.8261736132812498,False,REGULAR,USD
GOOGL260821P00145000,2026-05-26 16:07:46+00:00,145.0,0.08,0.0,0.33,0.0,0.0,2.0,988,0.80664255859375,False,REGULAR,USD
GOOGL260821P00150000,2026-06-08 16:07:04+00:00,150.0,0.65,0.01,0.34,0.0,0.0,4.0,2043,0.7832052929687501,False,REGULAR,USD
