contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META261218P00005000,2026-05-11 13:30:01+00:00,5.0,0.02,0.0,0.02,0.0,0.0,10.0,77,2.031254921875,False,REGULAR,USD
META261218P00010000,2026-06-05 19:19:24+00:00,10.0,0.01,0.0,0.1,0.0,0.0,90.0,130,1.9375003125,False,REGULAR,USD
META261218P00015000,2026-05-19 15:42:12+00:00,15.0,0.11,0.0,0.69,0.0,0.0,2.0,2,2.1269578076171873,False,REGULAR,USD
META261218P00020000,2026-05-28 18:19:33+00:00,20.0,0.14,0.0,0.2,0.0,0.0,1.0,326,1.6796891015625,False,REGULAR,USD
META261218P00025000,2026-05-22 19:02:53+00:00,25.0,0.21,0.0,0.69,0.0,0.0,1.0,5,1.791016669921875,False,REGULAR,USD
META261218P00030000,2026-06-05 19:55:57+00:00,30.0,0.02,0.0,0.3,0.0,0.0,10.0,55,1.5234398828124998,False,REGULAR,USD
META261218P00035000,2026-04-07 16:49:24+00:00,35.0,0.03,0.0,4.0,0.0,0.0,2.0,14,2.0520068231201165,False,REGULAR,USD
META261218P00040000,2025-11-05 17:22:34+00:00,40.0,0.02,0.0,0.09,0.0,0.0,10.0,17,1.21875390625,False,REGULAR,USD
META261218P00045000,2026-05-19 15:43:02+00:00,45.0,0.04,0.0,0.69,0.0,0.0,1.0,2,1.4287137939453123,False,REGULAR,USD
META261218P00050000,2026-02-06 17:37:09+00:00,50.0,0.05,0.0,0.05,0.0,0.0,2.0,428,1.05859845703125,False,REGULAR,USD
META261218P00055000,2026-06-08 17:53:15+00:00,55.0,0.02,0.0,0.7,0.0,0.0,30.0,40,1.3125034374999998,False,REGULAR,USD
META261218P00060000,2026-05-04 14:07:04+00:00,60.0,0.05,0.0,0.69,0.0,0.0,1.0,22,1.259769326171875,False,REGULAR,USD
META261218P00065000,2025-11-07 17:40:25+00:00,65.0,0.1,0.0,0.12,0.0,0.0,15.0,34,1.015629921875,False,REGULAR,USD
META261218P00070000,2025-12-17 18:14:21+00:00,70.0,0.09,0.0,0.1,0.0,0.0,1.0,28,0.9648441015625,False,REGULAR,USD
META261218P00075000,2025-11-21 20:51:22+00:00,75.0,0.12,0.0,0.11,0.0,0.0,2.0,15,0.93945373046875,False,REGULAR,USD
META261218P00080000,2026-03-26 19:58:43+00:00,80.0,0.1,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
META261218P00085000,2026-06-04 19:02:40+00:00,85.0,0.05,0.0,0.7,0.0,0.0,1.0,246,1.0625046875000002,False,REGULAR,USD
META261218P00090000,2026-06-08 19:46:21+00:00,90.0,0.1,0.01,0.45,-0.07,-41.17647,1.0,227,0.98242205078125,False,REGULAR,USD
META261218P00095000,2026-05-21 18:25:04+00:00,95.0,0.16,0.0,0.71,0.0,0.0,2.0,203,1.001958115234375,False,REGULAR,USD
META261218P00100000,2026-06-04 19:22:38+00:00,100.0,0.05,0.0,0.71,0.0,0.0,1.0,405,0.973633076171875,False,REGULAR,USD
META261218P00110000,2026-06-10 14:51:15+00:00,110.0,0.1,0.0,0.43,-0.20000002,-66.66667,4.0,76,0.870118486328125,False,REGULAR,USD
