contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT260617P00380000,2026-06-10 15:15:14+00:00,380.0,1.38,1.15,1.43,0.13,10.4,328.0,149,0.35938140625,False,REGULAR,USD
MSFT260617P00382500,2026-06-09 17:16:29+00:00,382.5,1.48,1.24,1.92,-0.69000006,-31.797237,22.0,97,0.366217275390625,False,REGULAR,USD
MSFT260617P00385000,2026-06-10 15:32:48+00:00,385.0,2.04,1.64,2.13,-0.01999998,-0.9708729,29.0,295,0.3494938098144531,False,REGULAR,USD
MSFT260617P00387500,2026-06-10 15:05:37+00:00,387.5,2.28,2.08,2.63,0.029999971,1.3333321,23.0,141,0.34729656616210935,False,REGULAR,USD
MSFT260617P00390000,2026-06-10 15:36:26+00:00,390.0,2.95,2.56,3.05,-0.28999996,-8.950616,909.0,472,0.3363103479003906,False,REGULAR,USD
MSFT260617P00392500,2026-06-09 19:27:04+00:00,392.5,3.12,3.1,4.1,-0.4100001,-11.614733,3.0,63,0.352545537109375,False,REGULAR,USD
MSFT260617P00395000,2026-06-10 15:48:00+00:00,395.0,4.1,4.15,4.65,-0.59000015,-12.579961,117.0,118,0.33887379882812496,False,REGULAR,USD
MSFT260617P00397500,2026-06-10 15:19:41+00:00,397.5,5.35,4.75,5.55,-0.3499999,-6.14035,32.0,1034,0.33667655517578127,False,REGULAR,USD
MSFT260617P00400000,2026-06-10 15:35:14+00:00,400.0,6.4,5.6,6.6,0.4500003,7.5630307,13.0,144,0.33588310607910155,False,REGULAR,USD
MSFT260617P00402500,2026-06-10 15:34:19+00:00,402.5,7.8,6.65,7.95,0.16000032,2.0942452,10.0,56,0.3425358715820312,False,REGULAR,USD
MSFT260617P00405000,2026-06-10 15:28:09+00:00,405.0,8.78,8.3,9.2,0.27999973,3.2941146,15.0,131,0.3396672479248046,True,REGULAR,USD
MSFT260617P00407500,2026-06-09 19:54:41+00:00,407.5,9.4,9.85,10.55,0.0,0.0,50.0,42,0.33588310607910155,True,REGULAR,USD
MSFT260617P00410000,2026-06-10 14:31:11+00:00,410.0,10.89,11.4,12.4,-0.3699999,-3.2859669,3.0,429,0.3487613952636719,True,REGULAR,USD
MSFT260617P00412500,2026-06-10 13:49:00+00:00,412.5,12.7,13.15,13.95,-1.1999998,-8.633093,7.0,469,0.3436955279541015,True,REGULAR,USD
MSFT260617P00415000,2026-06-10 13:44:12+00:00,415.0,15.69,14.2,16.0,0.72999954,4.879676,1.0,782,0.3573062316894531,True,REGULAR,USD
MSFT260617P00417500,2026-06-10 14:53:37+00:00,417.5,17.15,16.9,17.75,0.6000004,3.62538,4.0,55,0.35217932983398437,True,REGULAR,USD
MSFT260617P00420000,2026-06-10 15:06:16+00:00,420.0,19.01,17.2,20.85,0.460001,2.4797897,22.0,178,0.4144345666503906,True,REGULAR,USD
MSFT260617P00422500,2026-06-10 14:45:12+00:00,422.5,21.29,19.35,23.05,0.91000175,4.465171,3.0,62,0.4288387194824219,True,REGULAR,USD
MSFT260617P00425000,2026-06-10 14:45:12+00:00,425.0,23.38,21.55,25.15,-0.6400013,-2.6644516,1.0,169,0.4351863122558594,True,REGULAR,USD
MSFT260617P00427500,2026-06-09 19:04:56+00:00,427.5,24.52,23.9,27.45,0.0,0.0,15.0,51,0.45093322509765627,True,REGULAR,USD
MSFT260617P00430000,2026-06-10 15:47:06+00:00,430.0,27.38,26.05,29.6,-0.12000084,-0.43636668,1.0,71,0.4554497814941406,True,REGULAR,USD
MSFT260617P00432500,2026-06-09 19:20:10+00:00,432.5,32.81,28.5,32.1,2.9400005,9.842653,2.0,25,0.4808401525878906,True,REGULAR,USD
MSFT260617P00435000,2026-06-09 19:56:22+00:00,435.0,32.04,30.85,34.55,0.0,0.0,35.0,165,0.5023243127441408,True,REGULAR,USD
MSFT260617P00437500,2026-06-09 19:00:00+00:00,437.5,35.79,33.4,36.75,1.75,5.1410103,1.0,66,0.5050098327636718,True,REGULAR,USD
MSFT260617P00440000,2026-06-09 15:45:43+00:00,440.0,37.42,35.65,39.2,0.0,0.0,2.0,43,0.5245408874511719,True,REGULAR,USD
MSFT260617P00442500,2026-06-05 15:44:15+00:00,442.5,23.2,38.1,41.85,0.0,0.0,1.0,6,0.5589643713378907,True,REGULAR,USD
MSFT260617P00445000,2026-06-10 14:29:52+00:00,445.0,42.32,40.55,44.3,6.3199997,17.555555,1.0,19,0.5777630114746093,True,REGULAR,USD
MSFT260617P00447500,2026-06-09 14:26:10+00:00,447.5,37.64,43.1,46.6,0.0,0.0,2.0,8,0.5836223278808592,True,REGULAR,USD
MSFT260617P00450000,2026-06-09 14:26:10+00:00,450.0,40.09,45.55,49.05,0.0,0.0,3.0,8,0.6009561389160158,True,REGULAR,USD
MSFT260617P00452500,2026-06-09 18:43:28+00:00,452.5,49.2,48.0,51.8,0.0,0.0,3.0,4,0.6435582519531251,True,REGULAR,USD
MSFT260617P00455000,2026-06-08 19:25:46+00:00,455.0,42.84,50.75,54.3,0.0,0.0,35.0,5,0.6647982739257814,True,REGULAR,USD
MSFT260617P00457500,2026-06-09 18:51:46+00:00,457.5,53.84,53.25,56.7,0.0,0.0,1.0,0,0.6770051831054689,True,REGULAR,USD
MSFT260617P00460000,2026-06-09 13:59:50+00:00,460.0,49.0,55.7,59.0,0.0,0.0,1.0,0,0.6792024267578126,True,REGULAR,USD
MSFT260617P00462500,2026-06-10 13:39:05+00:00,462.5,61.83,58.2,61.8,2.4300003,4.0909095,6.0,0,0.5014698291015626,True,REGULAR,USD
MSFT260617P00465000,2026-06-03 15:00:01+00:00,465.0,39.15,60.45,64.0,0.0,0.0,,0,0.7187528125,True,REGULAR,USD
MSFT260617P00470000,2026-06-04 16:41:56+00:00,470.0,42.04,65.7,69.15,0.0,0.0,,0,0.5297898583984376,True,REGULAR,USD
